,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
206,12206,1,2,1,2,0,1,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
207,12207,0,1,2,1,1,1,3,2,5,4,3,0,0,1,1,1,1,0,1,0,0,1,0,0
208,12208,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,1,1,0,0
209,12209,0,1,2,2,1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
210,12210,1,1,2,2,0,-1,-1,-1,-1,-1,0,0,0,0,1,0,1,1,0,1,1,1,0,0
211,12211,0,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
212,12212,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1
213,12213,0,2,3,1,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
214,12214,0,2,1,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,0,1,1,0
215,12215,0,1,3,1,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
216,12216,1,1,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
217,12217,1,2,2,1,1,2,3,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1
218,12218,0,2,2,2,1,0,0,2,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0
219,12219,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
220,12220,0,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
221,12221,1,1,1,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
222,12222,1,2,1,2,1,0,0,0,-1,0,-1,1,1,1,0,0,0,0,0,1,0,0,0,0
223,12223,0,1,1,2,1,3,2,0,0,-1,-1,1,1,1,0,1,0,0,1,0,1,1,1,1
224,12224,0,2,3,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1
225,12225,0,1,2,2,0,3,2,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1
226,12226,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
227,12227,1,2,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
228,12228,1,2,2,1,1,-1,-1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
229,12229,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230,12230,1,2,1,2,0,-1,0,0,0,0,-1,0,0,0,1,0,0,1,1,1,0,1,0,0
231,12231,0,1,2,1,1,0,0,0,2,2,2,0,0,1,1,1,1,0,1,0,1,0,1,0
232,12232,0,2,2,1,1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
233,12233,0,2,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0
234,12234,1,1,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0
235,12235,0,1,2,1,0,0,0,2,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
236,12236,0,2,2,1,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
237,12237,0,1,1,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1
238,12238,0,1,1,2,0,4,3,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,1,0
239,12239,0,2,2,2,0,-1,0,0,-1,-1,-2,0,0,0,0,0,0,0,0,1,0,0,0,1
240,12240,1,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
241,12241,1,2,2,1,1,0,0,0,2,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0
242,12242,1,2,3,1,1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,1,1,1,1,1,1,0
243,12243,1,2,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
244,12244,1,2,1,2,0,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
245,12245,1,1,1,1,1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
246,12246,0,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
247,12247,1,2,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,0,1,0,0,0
248,12248,0,1,1,2,0,0,0,0,-1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
249,12249,1,1,3,2,1,-2,-1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
250,12250,1,2,3,2,1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
251,12251,1,2,2,1,1,-2,-2,-2,-2,-2,-2,1,1,0,0,0,0,1,0,1,1,1,1,0
252,12252,1,2,2,1,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
253,12253,0,2,1,2,0,-1,-1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
